source_ip_oct1,source_ip_oct2,source_ip_oct3,source_ip_oct4,destination_ip_oct1,destination_ip_oct2,destination_ip_oct3,destination_ip_oct4,status_code,hour,weekday,login,admin,update,download,upload,passwd,config,reset,token,php,label
10,104,103,249,110,164,17,88,403,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,179,227,139,110,164,28,25,206,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,104,112,165,43,174,53,240,206,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,104,170,73,10,104,4,36,200,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,134,44,183,110,164,17,88,403,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,179,227,145,34,131,210,136,200,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,104,125,10,110,164,17,88,503,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,104,112,42,92,223,116,253,503,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,133,22,22,10,104,4,36,200,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,104,192,206,110,164,11,58,200,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,179,227,140,92,223,116,253,206,15,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,134,44,203,103,21,25,187,0,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10,134,76,163,43,174,32,150,206,15,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,179,227,147,199,232,166,172,206,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,179,227,146,110,164,11,58,200,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,179,227,139,110,164,17,98,206,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,179,227,148,110,164,11,73,200,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,179,227,148,110,164,11,73,200,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,179,227,138,199,232,166,172,206,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,179,227,153,110,164,11,58,200,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,104,235,128,110,164,17,98,206,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,179,227,153,110,164,17,27,200,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,101,101,4,110,164,28,16,206,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,179,227,154,110,164,11,73,200,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,179,227,153,110,164,17,88,206,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,104,103,46,110,164,11,73,200,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,179,227,137,92,223,116,253,206,15,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,104,103,235,199,232,166,172,206,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,141,69,58,92,223,116,252,503,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,101,101,4,110,164,11,114,503,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,179,227,137,92,223,116,253,206,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,104,239,156,110,164,11,58,200,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,179,227,152,110,164,11,73,200,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,104,112,42,92,223,116,252,206,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,134,77,180,110,164,17,88,403,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,104,120,191,92,223,116,252,206,15,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,104,102,212,110,164,11,73,200,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,179,227,138,110,164,17,98,206,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,134,77,52,188,172,208,137,200,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,179,227,146,110,164,11,73,200,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,179,227,138,43,174,32,150,206,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,104,102,34,110,164,17,88,206,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,104,117,239,110,164,11,144,200,15,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,104,112,165,43,174,32,118,206,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,104,101,105,199,232,166,172,206,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,104,235,231,92,223,116,252,206,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,179,227,145,199,232,166,172,206,15,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,104,108,158,199,232,166,172,206,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,104,112,217,92,223,116,253,0,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,104,100,120,92,223,116,252,503,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,179,227,144,199,232,166,172,206,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,179,227,143,92,223,116,253,206,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,179,227,138,43,174,53,240,206,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,179,227,155,92,223,116,253,206,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,104,184,25,10,104,4,122,304,15,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
10,104,235,231,92,223,116,252,206,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,104,100,117,199,232,166,172,206,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,141,69,58,92,223,116,252,503,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,179,227,139,110,164,28,9,206,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,104,102,247,92,223,116,253,503,15,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,179,227,154,92,223,116,253,206,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,179,227,155,92,223,116,253,206,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
